gid,pk,pk_vaw,pk_sgi,name_full,name_short
1,7f6f33a1-4ec8-11e8-88b8-985fd331b2ee,65,A55f-03,Glacier de la Plaine Morte,plainemorte
2,df08f88e-7a05-11ec-90d6-0242ac120003,NULL,A10f-03,Chalbertälligletscher,
3,667c6fda-e4b9-4dee-8159-a653bf089f44,NULL,B40-14,Vorderes Galmhorn N,
4,59d74d6b-88e0-4040-b6c2-e92a58969e50,NULL,A51d-12,Stockfirn W,
5,df08f9d8-7a05-11ec-90d6-0242ac120003,NULL,A10f-04,Chessler,
6,d3687522-db9a-4f6e-9063-c11d309df642,NULL,E45-13,Piz Murterchömbel,
7,df08fb40-7a05-11ec-90d6-0242ac120003,NULL,A10g-10,Wintertällichöpf,
8,71d9f22a-f32a-4de9-90c8-22d0ed987415,NULL,E56-05,Piz Vadret,
9,108ca8db-4a06-426c-8f4f-062959720a9c,NULL,B44-36,Sidelengletscher W (VS),
10,09baea33-8224-4e60-a3ac-ab626aa585f6,NULL,A50h-19,Piz Segnas,
11,d8336018-6463-4cbc-8058-eea9f2c01b82,NULL,A12e-17,Vadret da Porchabella NW,
12,15ae1ec4-fca8-4307-987e-7b85870ba716,NULL,A50i-41,Glarner Tödi,
13,b5ac0c5f-a628-412a-ac1e-a3cd22481314,NULL,A51c-14,Oberfirenband,
14,df08fc58-7a05-11ec-90d6-0242ac120003,NULL,A10g-16,Hinteres Plattenhorn,
15,7135c9fe-4819-4011-a508-0f95e7fdfb6d,NULL,A50h-20,Ober Maad,
16,8177fbee-4ec8-11e8-bf58-985fd331b2ee,NULL,A14g-02,Glatscher da Medel,medel
17,817a45e1-4ec8-11e8-ba5c-985fd331b2ee,280,A14g-16,Glatscher da Plattas / Glatscher da Medel,medel
18,ebb65cf3-95dc-4298-a340-89e38d3f1515,NULL,A50i-14,Hintersulzhoren,
19,85fd1663-6782-4a1b-9b34-075db91dc1d4,NULL,A51e-57,Wilden Matten,
20,80035d4f-4ec8-11e8-bff9-985fd331b2ee,385,B55-15,Alphubelgletscher N,alphubelnord
21,7ebfa8e0-9734-47a2-9137-c41823cc7a73,NULL,A51f-58,Rossmettlengrat,
22,f5669d88-75b4-4561-8804-ea04379e18fc,NULL,A51f-81,Schattmigstock,
23,1eb9fcdd-a1f4-49a0-b5c5-6190b640de74,NULL,A51h-12,Hasenstöck,
24,00a61268-4eb4-4435-9552-b04e13abcd49,NULL,A51h-32,Vorder Schloss,
25,df090072-7a05-11ec-90d6-0242ac120003,NULL,A10g-19,Jöriflüelafurgga,
26,62d7dfc8-4d8a-11ee-be56-0242ac120002,NULL,A51f-51,Chuefadfirn,
27,80c32ade-4ec8-11e8-a096-985fd331b2ee,NULL,B46-04,Strahlgrät,
28,812ff670-4ec8-11e8-b06f-985fd331b2ee,NULL,A51g-18,Schlossberggletscher,
29,81193a21-4ec8-11e8-9e2b-985fd331b2ee,NULL,A51h-04,Firenband (NW),
